City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mejit,10.2753,170.8646,27.58,81,100,7.88,MH,1715420985
1,aldama,22.9167,-98.0667,25.76,90,41,1.39,MX,1715420985
2,badger,64.8,-147.5333,6.15,52,0,3.09,US,1715420986
3,kitimat,54.0524,-128.6534,11.21,70,97,0.56,CA,1715420987
4,albany,42.6001,-73.9662,9.4,94,100,1.13,US,1715420988
5,college,64.8569,-147.8028,6.2,49,75,3.09,US,1715420984
6,portrush,55.1959,-6.6493,19.93,72,14,4.82,GB,1715420990
7,blackmans bay,-43.0167,147.3167,9.74,93,34,0.45,AU,1715420991
8,vilyuchinsk,52.9306,158.4028,3.15,82,100,1.65,RU,1715420991
9,bredasdorp,-34.5322,20.0403,18.13,45,5,4.1,ZA,1715420992
10,susuman,62.7833,148.1667,3.32,73,100,1.34,RU,1715420993
11,page,36.9147,-111.4558,14.88,38,0,3.09,US,1715420994
12,fuglafjordur,62.244,-6.814,10.26,95,100,4.38,FO,1715420995
13,thompson,55.7435,-97.8558,7.09,65,75,2.06,CA,1715420995
14,mandalgovi,45.7625,106.2708,17.81,12,12,5.72,MN,1715420996
15,maracacume,-2.0428,-45.9592,24.25,96,100,0.77,BR,1715420997
16,grytviken,-54.2811,-36.5092,-3.24,83,54,4.88,GS,1715420999
17,port-aux-francais,-49.35,70.2167,5.14,76,85,11.84,TF,1715420999
18,papatowai,-46.5619,169.4708,8.95,91,66,4.12,NZ,1715421000
19,uturoa,-16.7333,-151.4333,27.67,79,14,3.93,PF,1715421001
20,bilibino,68.0546,166.4372,0.06,77,100,1.3,RU,1715421002
21,adamstown,-25.066,-130.1015,21.73,78,99,4.81,PN,1715421004
22,ribeira grande,38.5167,-28.7,18.22,100,75,3.6,PT,1715421005
23,lisala,2.15,21.5167,35.41,36,83,2.22,CD,1715421005
24,angaur state,6.906,134.13,29.27,78,23,7.28,PW,1715421006
25,san julian,21.0167,-102.1667,19.48,28,13,1.67,MX,1715421007
26,tura,25.5198,90.2201,30.87,47,73,1.42,IN,1715421008
27,keflavik,64.0049,-22.5624,9.95,93,100,8.75,IS,1715421009
28,olonkinbyen,70.9221,-8.7187,-2.36,76,62,4.08,SJ,1715421010
29,port saint john's,-31.6229,29.5448,21.15,58,16,5.25,ZA,1715421011
30,iqaluit,63.7506,-68.5145,-0.15,86,100,4.63,CA,1715421012
31,afua,-0.1567,-50.3867,24.63,96,97,1.05,BR,1715421013
32,valdivia,-39.8142,-73.2459,7.05,99,99,0.99,CL,1715421014
33,huanren,41.2647,125.3667,14.25,48,9,3.18,CN,1715421015
34,praia da vitoria,38.7333,-27.0667,20.42,77,40,2.53,PT,1715421015
35,yellowknife,62.456,-114.3525,3.29,96,100,8.75,CA,1715421016
36,borogontsy,62.6683,131.1683,3.63,46,98,1.81,RU,1715421017
37,edinburgh of the seven seas,-37.0676,-12.3116,16.96,92,100,13.2,SH,1715421018
38,hasaki,35.7333,140.8333,21.27,68,9,9.73,JP,1715421019
39,bethel,41.3712,-73.414,7.05,89,100,1.54,US,1715421020
40,anadyr,64.75,177.4833,-1.72,86,100,1.0,RU,1715421021
41,kencong,-8.2833,113.3667,26.16,89,100,2.24,ID,1715421021
42,tosontsengel,48.7567,98.2839,21.48,15,82,4.04,MN,1715421022
43,ribeira brava,32.65,-17.0667,23.89,74,8,2.18,PT,1715421024
44,hermanus,-34.4187,19.2345,18.22,56,33,2.36,ZA,1715421025
45,east london,-33.0153,27.9116,21.52,40,0,7.2,ZA,1715421026
46,severo-yeniseyskiy,60.3725,93.0408,5.88,98,100,3.58,RU,1715421027
47,port lincoln,-34.7333,135.8667,14.5,85,100,3.1,AU,1715421028
48,arvayheer,46.2639,102.775,19.95,9,5,4.03,MN,1715421029
49,kristiansund,63.1115,7.732,10.03,87,75,2.06,NO,1715421030
50,nobres,-14.7203,-56.3275,19.51,70,65,1.98,BR,1715421031
51,avarua,-21.2078,-159.775,25.03,78,75,1.03,CK,1715421032
52,port elizabeth,-33.918,25.5701,21.17,50,20,9.26,ZA,1715421033
53,richards bay,-28.783,32.0377,23.67,74,99,7.12,ZA,1715421033
54,tiksi,71.6872,128.8694,-2.46,95,100,3.16,RU,1715421034
55,mana,5.6592,-53.7767,25.4,92,91,3.0,GF,1715421035
56,ilulissat,69.2167,-51.1,-2.99,68,20,0.0,GL,1715421037
57,margaret river,-33.95,115.0667,16.06,63,0,2.04,AU,1715420946
58,puerto natales,-51.7236,-72.4875,-1.92,93,29,2.08,CL,1715421039
59,naracoorte,-36.9579,140.7383,13.4,72,47,1.66,AU,1715421040
60,ushuaia,-54.8,-68.3,3.81,70,0,8.23,AR,1715421041
61,selfoss,63.9331,-20.9971,10.02,84,99,5.19,IS,1715421042
62,cabo san lucas,22.8909,-109.9124,25.28,47,41,0.89,MX,1715420880
63,kolosovka,56.4678,73.611,13.27,34,100,7.72,RU,1715421043
64,grand falls-windsor,48.9332,-55.6649,0.28,90,100,2.91,CA,1715421044
65,carnarvon,-24.8667,113.6333,26.41,47,83,5.8,AU,1715421045
66,labytnangi,66.6572,66.4183,-2.57,89,49,1.24,RU,1715421046
67,zahedan,29.4963,60.8629,27.95,20,0,4.12,IR,1715421047
68,carbonear,47.7332,-53.2148,1.9,94,100,5.06,CA,1715421048
69,okhotsk,59.3833,143.3,-0.06,95,100,2.3,RU,1715421049
70,lagoa,39.05,-27.9833,17.0,92,90,6.11,PT,1715421049
71,georgetown,5.4112,100.3354,32.96,74,20,2.06,MY,1715421050
72,san patricio,28.017,-97.5169,27.92,85,68,4.69,US,1715421051
73,lee acres,35.1487,-106.647,14.9,66,20,16.99,US,1715421052
74,atafu village,-8.5421,-172.5159,29.55,74,70,4.57,TK,1715421053
75,pemangkat,1.1667,108.9667,25.49,93,100,5.15,ID,1715421011
76,ephrata,40.1798,-76.1788,8.62,83,100,0.9,US,1715421054
77,saipan,15.1355,145.701,28.39,78,40,5.14,MP,1715421055
78,egersund,58.4513,5.9997,17.83,76,57,2.64,NO,1715421057
79,puerto ayora,-0.7393,-90.3518,22.53,97,99,2.08,EC,1715421057
80,lihue,21.9789,-159.3672,22.58,78,75,3.09,US,1715421058
81,west island,-12.1568,96.8225,28.99,84,40,6.17,CC,1715421059
82,sal rei,16.1833,-22.9167,25.11,73,40,7.2,CV,1715421060
83,nadi,-17.8,177.4167,22.0,73,20,4.63,FJ,1715420784
84,domna,51.8971,113.1573,15.09,12,86,8.0,RU,1715421061
85,tofol,5.3248,163.0078,27.84,76,100,0.46,FM,1715421062
86,mugia,43.1041,-9.2179,16.15,82,1,3.46,ES,1715421063
87,ust-nera,64.5667,143.2,1.8,88,100,1.73,RU,1715421064
88,bonthe,7.5264,-12.505,30.78,69,39,2.17,SL,1715421065
89,yelizovo,53.1873,158.3805,3.08,74,75,5.0,RU,1715421065
90,vilyuysk,63.7553,121.6247,2.22,47,100,1.79,RU,1715421066
91,lompoc,34.6391,-120.4579,12.1,96,100,1.54,US,1715421067
92,arraial do cabo,-22.9661,-42.0278,21.92,88,100,1.03,BR,1715421068
93,yoloten,37.2989,62.3597,24.42,27,0,2.77,TM,1715421069
94,mil'kovo,55.6078,37.7956,11.11,41,86,5.48,RU,1715421070
95,puerto princesa,9.7392,118.7353,33.99,59,20,4.12,PH,1715421070
96,waitangi,-43.9535,-176.5597,9.9,85,100,5.36,NZ,1715421071
97,caala,-12.8525,15.5606,24.55,29,4,2.57,AO,1715421072
98,fuling,29.7022,107.3919,19.25,95,100,2.0,CN,1715421073
99,divnogorsk,55.9594,92.3619,24.27,67,100,4.14,RU,1715421074
100,fernie,49.5,-115.0687,9.11,79,88,0.82,CA,1715420851
101,san antonio de pale,-1.4014,5.6325,26.65,88,74,5.29,GQ,1715421075
102,saint-louis,16.3333,-15.0,28.8,12,60,4.78,SN,1715421076
103,candelaria,13.9311,121.4233,28.28,73,86,2.41,PH,1715421077
104,katsuura,35.1333,140.3,19.26,72,10,8.5,JP,1715421078
105,nemuro,43.3236,145.575,6.1,92,93,4.6,JP,1715421078
106,aykhal,66.0,111.5,-3.81,76,100,3.63,RU,1715421079
107,oum hadjer,13.2954,19.6966,40.98,8,8,2.18,TD,1715421080
108,linxia chengguanzhen,35.6003,103.2064,18.92,29,83,1.04,CN,1715421081
109,khash,28.2211,61.2158,28.25,16,0,6.11,IR,1715421082
110,berbera,10.4396,45.0143,32.98,65,75,6.2,SO,1715421083
111,port said,31.2565,32.2841,24.99,57,0,5.14,EG,1715421083
112,coquimbo,-29.9533,-71.3436,9.85,81,0,2.57,CL,1715421084
113,jiquilisco,13.3167,-88.5833,26.74,85,99,1.39,SV,1715421085
114,aqadyr,48.2553,72.8483,17.55,29,60,4.78,KZ,1715421086
115,chibougamau,49.9168,-74.3659,4.79,87,100,1.54,CA,1715421087
116,tsiombe,-25.3,45.4833,31.75,28,0,2.73,MG,1715421087
117,kone,-21.0595,164.8658,19.59,78,73,2.51,NC,1715421088
118,polygyros,40.3744,23.4383,19.96,53,85,2.64,GR,1715421089
119,polyarnyy,69.1989,33.4478,0.41,92,100,5.61,RU,1715421090
120,souillac,-20.5167,57.5167,26.21,73,75,5.66,MU,1715421091
121,qaqortoq,60.7167,-46.0333,0.84,92,92,1.04,GL,1715421091
122,fale old settlement,-9.3852,-171.2468,29.24,74,14,3.64,TK,1715421092
123,sitka,57.0531,-135.33,6.94,76,75,0.0,US,1715421049
124,fisterra,42.9049,-9.2629,15.58,86,0,5.66,ES,1715421094
125,longyearbyen,78.2186,15.6401,1.91,64,40,10.29,SJ,1715421095
126,kratie,12.4881,106.0188,33.99,49,58,4.7,KH,1715421096
127,bangjun,39.9911,117.2628,23.35,22,0,5.14,CN,1715421096
128,prince rupert,54.3161,-130.3201,8.05,96,100,1.54,CA,1715421097
129,utrik,11.2278,169.8474,27.33,83,100,7.06,MH,1715421098
130,villa gesell,-37.2639,-56.973,8.36,69,100,6.6,AR,1715421099
131,port blair,11.6667,92.75,33.02,66,40,5.14,IN,1715421100
132,vorkuta,67.5,64.0,-1.61,86,42,3.13,RU,1715421100
133,cadale,2.7603,46.3222,30.48,69,91,8.24,SO,1715421101
134,st. john's,47.5649,-52.7093,1.65,96,100,4.47,CA,1715421102
135,quesnel,52.9999,-122.5029,10.28,53,0,0.0,CA,1715421103
136,teays valley,38.4501,-81.9293,9.23,97,91,2.16,US,1715421104
137,namibe,-15.1961,12.1522,25.96,66,0,3.1,AO,1715421104
138,maesteg,51.6093,-3.6582,19.01,65,100,4.95,GB,1715421105
139,passau,48.5712,13.449,22.26,64,91,0.89,DE,1715421106
140,santana,-0.0583,-51.1817,27.1,94,40,1.03,BR,1715421107
141,at taj,24.2049,23.2857,30.5,15,1,5.76,LY,1715421108
142,tucuma,-0.1833,-50.05,25.14,94,96,1.24,BR,1715421108
143,kodiak,57.79,-152.4072,3.73,93,100,3.09,US,1715421109
144,cockburn town,21.4612,-71.1419,26.45,79,59,5.7,TC,1715421110
145,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715421111
146,hawaiian paradise park,19.5933,-154.9731,21.69,98,40,0.0,US,1715421112
147,klyuchi,52.2667,79.1667,17.27,31,100,6.23,RU,1715421113
148,invercargill,-46.4,168.35,9.45,97,66,2.24,NZ,1715421113
149,port mathurin,-19.6833,63.4167,25.43,80,77,11.09,MU,1715421114
150,horn,51.8715,8.9451,21.52,67,100,1.99,DE,1715421116
151,buchanan,5.8808,-10.0467,30.01,71,70,2.09,LR,1715421117
152,nantucket,41.2835,-70.0995,8.08,88,100,6.17,US,1715421118
153,jamestown,42.097,-79.2353,4.77,100,100,2.06,US,1715420964
154,timbuktu,16.7735,-3.0074,39.65,5,6,6.42,ML,1715421119
155,crockett,31.3182,-95.4566,19.99,88,100,0.0,US,1715421120
156,papao,-17.75,-149.55,24.82,80,4,4.61,PF,1715421121
157,tolanaro,-25.0319,46.9987,28.04,61,20,4.12,MG,1715421122
158,port-vila,-17.7338,168.3219,22.78,88,20,2.57,VU,1715421122
159,taltal,-25.4,-70.4833,14.6,83,100,1.73,CL,1715421123
160,xinqing,48.2333,129.5,7.94,93,100,3.04,CN,1715421124
161,lebu,-37.6167,-73.65,8.62,86,89,3.1,CL,1715421125
162,ploudalmezeau,48.5333,-4.65,23.21,49,0,3.09,FR,1715421126
